"subject" "activity_label" "dom" "body_gravity" "acc_gyro" "jerk" "mag" "direction" "stat" "value"
25 "WALKING" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.278992759054054
26 "WALKING" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.279264443728814
27 "WALKING" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.276849485438596
28 "WALKING" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.281228223888889
29 "WALKING" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.271999916792453
30 "WALKING" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.276406758
1 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.289188320408163
2 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.27761534806383
3 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.292423484693878
4 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.279965329555556
5 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.29354392712766
6 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.277045258145833
7 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.28030708
8 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.283484089210526
9 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.295923445
10 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.290401594315789
11 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.291605631956522
12 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.281521097391304
13 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.294907553404255
14 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.293422115555556
15 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.280198851190476
16 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.295586802191489
17 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.29391828326087
18 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.288439468909091
19 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.262688053871795
20 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.296144421355556
21 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.3014610196
22 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.284458963861111
23 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.289897411148148
24 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.288631208909091
25 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.291329666206897
26 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.2792845828
27 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.2975441875
28 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.293642076521739
29 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.293140441083333
30 "WALKING_DOWNSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.283190646967742
1 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.255461689622641
2 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.247164790395833
3 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.260819873067797
4 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.270876696730769
5 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.268459469914894
6 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.268229355098039
7 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.248706923078431
8 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.258880152048781
9 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.262436475714286
10 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.267121853404255
11 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.263775859277778
12 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.272970338653846
13 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.258203939581818
14 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.26242106612963
15 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.270187595833333
16 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.255986102627451
17 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.252604768583333
18 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.265401201896552
19 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.242118808925
20 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.252098317156863
21 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.265194544680851
22 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.248391534566667
23 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.249995171031373
24 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.269881106779661
25 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.277995411384615
26 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.272691394545455
27 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.265770253921569
28 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.262005841764706
29 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.265423066877551
30 "WALKING_UPSTAIRS" "Time" "Body" "Acc" "-" "-" "X" "Mean" 0.271415642261538
1 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.24888179828
2 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.509754238125
3 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.241758478064516
4 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.420664662222222
5 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.483470597692308
6 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.47670987877193
7 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.502814250576923
8 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.405930036111111
9 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.5802528348
10 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.453069737586207
11 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.134832031403509
12 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.3785920653
13 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.156852206467742
14 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.145483631627451
15 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.1719930545
16 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.206783742242857
17 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.19913309
18 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.220600509076923
19 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.680043155060241
20 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.472431415573529
21 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.174349174822222
22 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.418494577083333
23 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.391564962777778
24 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.359292534027778
25 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.461102531369863
26 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.621309715263158
27 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.530434604864865
28 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.490334541875
29 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.346789842753623
30 "LAYING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" -0.344737755285714
1 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.831509933404255
2 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.940477273043478
3 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.901098984615385
4 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.8693030064
5 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.880731443863636
6 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.933692934909091
7 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.969147824375
8 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.832453878043478
9 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.9163245106
10 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.791887198148148
11 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.871963798301887
12 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.926228975490196
13 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.92557651244898
14 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.939038759814815
15 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.89036426220339
16 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.942457377971014
17 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.94488374765625
18 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.909816469298246
19 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.581371509041096
20 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.924454522424242
21 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.940031368
22 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.839305928709677
23 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.936509242941176
24 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.919637604411765
25 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.865686078153846
26 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.782955611794872
27 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.839464714
28 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.907331309166667
29 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.891563755166667
30 "SITTING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.825473836935484
1 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.942952000377358
2 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.896928566851852
3 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.93503077852459
4 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.95619779125
5 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.960188699107143
6 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.945139003859649
7 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.958728687924528
8 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.957669921111111
9 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.961323502222222
10 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.954008785454545
11 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.956464535957447
12 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.957317821803279
13 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.942695296842105
14 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.875319569
15 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.965528899622642
16 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.941587749358974
17 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.904678547435897
18 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.947573239863014
19 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.944045837534247
20 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.911231752465753
21 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.881213341910112
22 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.954064297619048
23 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.919857125882353
24 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.96644228
25 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.929794733108108
26 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.965460891621622
27 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.965351492
28 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.948514848481013
29 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.974508732
30 "STANDING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.968556705084746
1 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.935223201473684
2 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.91301733338983
3 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.936506743275862
4 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.963999696833333
5 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.972624959821429
6 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.958067455087719
7 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.932566472280702
8 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.913586347916667
9 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.951867079615385
10 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.963092149811321
11 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.946468451355932
12 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.9668735148
13 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.910855709298246
14 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.802973961525424
15 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.951524391481481
16 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.925981326078431
17 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.92811236852459
18 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.92386524875
19 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.935222559230769
20 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.899965205686274
21 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.862524800961538
22 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.936096410434783
23 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.939809688644068
24 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.95970108137931
25 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.937483114459459
26 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.960647754576271
27 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.944759287368421
28 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.942930275555556
29 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.96237438509434
30 "WALKING" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.965217551076923
1 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.931874418979592
2 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.861831345531915
3 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.939057787755102
4 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.947731858666667
5 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.956649352553192
6 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.928531455208333
7 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.930623632765957
8 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.914023498421053
9 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.938417773333333
10 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.939807421052632
11 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.941746406521739
12 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.949861980652174
13 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.941875619787234
14 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.81629643
15 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.932302200476191
16 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.917818427021277
17 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.928817578043478
18 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.932277478363636
19 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.881940855128205
20 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.91972663
21 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.872683205555556
22 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.921820641944444
23 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.923711401296296
24 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.950883416727273
25 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.929627532241379
26 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.9467972718
27 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.931380178636364
28 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.929291680434783
29 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.948486215
30 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.958000491451613
1 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.89335109754717
2 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.790717418541667
3 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.883533436101695
4 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.946264314423077
5 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.936821834893617
6 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.913632241568627
7 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.81874656
8 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.860368718780488
9 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.902647777755102
10 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.931861027446809
11 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.892626155555556
12 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.938371473269231
13 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.847634313454545
14 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.688256122222222
15 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.918544812291667
16 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.826874282745098
17 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.853530565833333
18 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.883330258448276
19 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.8294283725
20 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.777095717058824
21 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.781177210851064
22 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.889454382857143
23 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.843438810196078
24 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.906369500508475
25 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.927693239538462
26 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.942095257090909
27 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.868000278627451
28 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.854508231764706
29 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.929258953877551
30 "WALKING_UPSTAIRS" "Time" "Gravity" "Acc" "-" "-" "X" "Mean" 0.93182983
1 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.426897985221
2 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.441909911559375
3 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.526191954166129
4 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.516647959437963
5 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.499260538721154
6 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.416445351684123
7 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.546714886387692
8 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.531747395041667
9 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.58049855002056
10 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.441518168467241
11 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.485039635662281
12 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.4730420644975
13 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.535695015225806
14 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.593420680903922
15 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.5552005393875
16 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.550722002622857
17 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.482690644012324
18 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.468640255699231
19 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.36249340303988
20 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.512813627261765
21 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.539445943327222
22 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.535162994789583
23 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.424110322218403
24 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.381566776320833
25 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.547760627710959
26 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.417668257344079
27 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.447959214543311
28 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.60283260223125
29 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.378586311630435
30 "LAYING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.518984224692143
1 "SITTING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.393504221390851
2 "SITTING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.426049134336957
3 "SITTING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.452733094300962
4 "SITTING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.4257484888509
5 "SITTING" "Freq" "Body" "Gyro" "-" "-" "X" "Mean" -0.415612946640909
